symbol,date,HotScore,regularMarketPrice,regularMarketChangePercent,VolumeSpike,averageDailyVolume3Month,marketCap
EWTX,2025-11-26 21:03:59,0.8056603773584905,25.52,6.068167,1.254467889300073,1025764.0,2701762560.0
FBIN,2025-11-26 21:03:59,0.7456873315363882,51.52,3.8919144,1.1526844876672293,1587640.0,6189528576.0
FLNC,2025-11-26 21:03:59,0.8017520215633424,18.99,13.237921,1.0873967327734626,7608900.0,3468780800.0
FN,2025-11-26 21:03:59,0.8451482479784367,449.165,4.5323386,1.1246110272021903,636934.0,16092327936.0
HNGE,2025-11-26 21:03:59,0.7672506738544475,50.06,3.7083094,1.8336936893000015,1476318.0,3940694016.0
HOOD,2025-11-26 21:03:59,0.8722371967654986,128.2,10.928439,1.2246765621096114,35537503.0,115276013568.0
ICLR,2025-11-26 21:03:59,0.8828840970350404,183.65,5.22546,1.6227562258320225,994084.0,14282851328.0
KSS,2025-11-26 21:03:59,0.8474393530997304,24.09,7.4487066,2.8030090325839483,6160917.0,2699879168.0
LITE,2025-11-26 21:03:59,0.8366576819407009,308.28,5.839946,0.9458172983574704,4269573.0,21860933632.0
MESO,2025-11-26 21:03:59,0.8623989218328841,17.37,8.15692,1.83598713624598,242231.0,2236313600.0
MODG,2025-11-26 21:03:59,0.8185983827493262,12.74,8.982038,1.7297412626756778,2472353.0,2342677504.0
NBIX,2025-11-26 21:03:59,0.8960916442048518,151.58,5.608586,1.8046351253369228,941981.0,15113390080.0
ODD,2025-11-26 21:03:59,0.8102425876010781,43.04,4.238314,2.102095635514264,762060.0,2472169216.0
OLMA,2025-11-26 21:03:59,0.8315363881401617,28.12,7.863449,1.268229884688382,3238789.0,2254096896.0
OSCR,2025-11-26 21:03:59,0.762533692722372,18.1575,8.532575,1.114547492243282,17417160.0,5228582400.0
PAAS,2025-11-26 21:03:59,0.8204851752021562,42.56,7.774119,1.1007911048807084,6470065.0,17962321920.0
PI,2025-11-26 21:03:59,0.7754716981132075,172.81,4.4863644,0.902318785382878,561889.0,5203159040.0
PKX,2025-11-26 21:03:59,0.8377358490566038,54.91,5.1110225,1.3534858501386833,143853.0,16609347584.0
PTCT,2025-11-26 21:03:59,0.8495956873315363,86.25,4.003376,8.583597076347047,1277443.0,6924866048.0
RCUS,2025-11-26 21:03:59,0.7642857142857142,25.57,5.3130107,1.15188552776451,1385978.0,3163738624.0
SYM,2025-11-26 21:03:59,0.9544474393530996,87.3,12.951225,2.6269743676283244,2168859.0,51750776832.0
TER,2025-11-26 21:03:59,0.8514824797843666,179.38,6.9839606,0.9528043169385276,3768226.0,28534611968.0
TEVA,2025-11-26 21:03:59,0.7621293800539084,26.325,5.3421407,1.5080722738377426,11010900.0,30202214400.0
TSEM,2025-11-26 21:03:59,0.8785714285714287,103.46,5.572504,1.6907228090486537,1395832.0,11600328704.0
UNF,2025-11-26 21:03:59,0.7618598382749325,172.07,3.0235918,1.8230341097693583,139784.0,3111337472.0
URBN,2025-11-26 21:03:59,0.9646900269541778,77.56,13.54121,4.771464999118246,2098090.0,6956969984.0
VERA,2025-11-26 21:03:59,0.9164420485175202,33.33,13.251789,2.0713227707007404,1539957.0,2130722432.0
WSC,2025-11-26 21:03:59,0.772911051212938,20.18,4.7767396,2.484137351998766,2918050.0,3674275328.0
ZYME,2025-11-26 21:03:59,0.7816711590296497,27.33,4.3926644,2.0297311672748304,1077287.0,2069848064.0
AA,2025-11-26 21:17:41,0.7892183288409704,41.57,6.04592,1.1367072625459165,6727448.0,10765134848.0
AAUC,2025-11-26 21:17:41,0.850134770889488,19.21,9.95993,1.1952934440643703,342331.0,2382039808.0
ALAB,2025-11-26 21:17:41,0.7654986522911051,154.22,6.5202394,0.826404230911678,6266829.0,26048315392.0
ANF,2025-11-26 21:17:41,0.88544474393531,95.14,5.42997,2.120174497493688,2070173.0,4532785152.0
ARWR,2025-11-26 21:17:41,0.9591644204851753,57.71,23.338316,3.055576178423865,2311350.0,7978843136.0
ASML,2025-11-26 21:17:41,0.7703504043126684,1040.97,3.7628837,0.9887391431881754,1564801.0,404050083840.0
ATMU,2025-11-26 21:17:41,0.9067385444743936,51.04,6.26692,3.6694026159110047,679228.0,4193037312.0
BBAR,2025-11-26 21:17:41,0.8132075471698114,15.92,10.7093,1.1393334005207936,1468528.0,3284214784.0
BE,2025-11-26 21:17:41,0.7491913746630727,101.14,7.26482,0.8391629141447746,14946615.0,23920697344.0
BMA,2025-11-26 21:17:41,0.8479784366576819,82.21,7.4781,1.0230039632296202,800862.0,5256617472.0
