symbol,date,HotScore,TrendScore,regularMarketPrice,regularMarketChangePercent,VolumeSpike,averageDailyVolume3Month,MomentumScore,VolumeScore,VolatilityScore,marketCap
SNDK,2026-02-05 18:07:37,0.7804878048780488,0.7865853658536586,598.18,2.3317091,1.3320841838732274,14916016.0,0.6676829268292683,0.8079268292682927,0.926829268292683,88271773696.0
TENB,2026-02-05 18:07:37,0.8643292682926829,0.6524390243902439,21.66,9.837731,3.4464014176028064,1547401.0,0.975609756097561,0.9695121951219512,0.5914634146341463,2622916864.0
TPR,2026-02-05 18:07:37,0.8640243902439025,0.801829268292683,140.57,8.19736,1.2229716418083418,2847537.0,0.948170731707317,0.7774390243902439,0.899390243902439,29098764288.0
TSEM,2026-02-05 18:07:37,0.8980182926829268,0.8170731707317073,129.48,6.7612114,2.185256308817393,1775729.0,0.9207317073170732,0.923780487804878,0.8536585365853658,14559732736.0
TW,2026-02-05 18:07:37,0.8983231707317073,0.8262195121951219,110.71,9.809561,1.484799560768337,1256740.0,0.972560975609756,0.8475609756097561,0.8932926829268293,24188325888.0
UBER,2026-02-05 18:07:37,0.7329268292682927,0.4695121951219512,77.075,4.268126,1.0695990644489393,19937768.0,0.8597560975609756,0.7134146341463414,0.676829268292683,160733626368.0
UI,2026-02-05 18:07:37,0.771951219512195,1.0,570.315,4.0265236,0.7782290207003029,119177.0,0.8414634146341463,0.524390243902439,0.9695121951219512,34503860224.0
WMS,2026-02-05 18:07:37,0.8628048780487805,0.899390243902439,171.57,7.0572896,1.1810847621197145,642445.0,0.926829268292683,0.7621951219512195,0.9085365853658536,13342053376.0
XPO,2026-02-05 18:07:37,0.8945121951219512,0.8567073170731707,188.515,4.9988894,2.260218982950823,1430157.0,0.8841463414634146,0.926829268292683,0.875,22199918592.0
YUMC,2026-02-05 18:07:37,0.7749999999999999,0.7926829268292683,55.525,4.4881487,1.1383533160823738,1290363.0,0.8689024390243902,0.7530487804878049,0.6402439024390244,19627577344.0
ALGN,2026-02-05 19:07:28,0.8739583333333333,0.8869047619047619,175.705,8.930563,1.3627488977254756,1220431.0,0.9553571428571428,0.7559523809523809,0.9315476190476192,12736217088.0
ALL,2026-02-05 19:07:28,0.7842261904761905,0.8779761904761905,214.29,3.4617605,1.2686205056335085,1663972.0,0.7797619047619048,0.7321428571428571,0.8363095238095238,56466554880.0
ARM,2026-02-05 19:07:28,0.9116071428571428,0.7321428571428571,112.92,7.645373,3.330615721492258,5150478.0,0.9375,0.9613095238095238,0.8690476190476191,119807959040.0
ASX,2026-02-05 19:07:28,0.7358630952380951,0.431547619047619,20.33,7.0563464,1.399582318478139,7087218.0,0.9285714285714286,0.7648809523809523,0.5,44351938560.0
AXL,2026-02-05 19:07:28,0.7648809523809523,0.3779761904761904,9.0,9.48905,2.05103285140002,4114193.0,0.9642857142857144,0.8988095238095238,0.375,2121012480.0
BOOT,2026-02-05 19:07:28,0.8546130952380954,0.9404761904761904,190.48,3.9737985,1.8541663136706052,590186.0,0.8303571428571429,0.8630952380952381,0.8392857142857143,5820235264.0
BSX,2026-02-05 19:07:28,0.7761904761904762,0.5922619047619048,77.9,3.17881,2.2422749204040766,11631563.0,0.75,0.9107142857142856,0.6785714285714286,115527245824.0
CAH,2026-02-05 19:07:28,0.8053571428571428,0.8690476190476191,225.855,9.187812,0.938334141159846,2073465.0,0.9583333333333334,0.5416666666666666,0.9672619047619048,53662027776.0
CENT,2026-02-05 19:07:28,0.7671130952380952,0.9583333333333334,36.875,5.040695,1.1792427237142968,77409.0,0.8958333333333334,0.6904761904761905,0.5803571428571429,2294884608.0
CI,2026-02-05 19:07:28,0.7467261904761905,0.8958333333333334,280.195,3.1228206,1.0585263967370715,1763324.0,0.7410714285714286,0.6279761904761905,0.8898809523809523,74847322112.0
CLS,2026-02-05 19:07:28,0.8683035714285715,0.8571428571428571,296.53,7.492937,1.3064720291409129,2997298.0,0.9345238095238096,0.7470238095238095,0.9702380952380952,34207074304.0
COR,2026-02-05 19:07:28,0.854017857142857,0.9107142857142856,352.39,6.7945614,1.2038547882124362,1390686.0,0.9226190476190476,0.6994047619047619,0.9761904761904762,68549046272.0
CPAY,2026-02-05 19:07:28,0.8642857142857143,0.9732142857142856,330.255,9.982351,1.1118544359155331,592234.0,0.9702380952380952,0.6547619047619048,0.9910714285714286,23320754176.0
CRUS,2026-02-05 19:07:28,0.8113095238095237,0.9136904761904762,140.255,3.9619014,1.4769879660653398,540804.0,0.8273809523809523,0.7857142857142857,0.7767857142857143,7157267456.0
CVCO,2026-02-05 19:07:28,0.8392857142857142,0.9970238095238096,528.44,4.5463557,1.1528709834496578,178667.0,0.8690476190476191,0.6845238095238095,0.9791666666666666,4124494336.0
DAY,2026-02-05 19:07:28,0.7421130952380952,0.7172619047619048,69.86,1.3639,8.155395258177808,3714901.0,0.6815476190476191,0.9940476190476192,0.4196428571428571,11180042240.0
DVA,2026-02-05 19:07:28,0.7383928571428571,0.8928571428571429,148.51,4.5430512,0.9071951996809172,1022932.0,0.8660714285714286,0.5208333333333334,0.8184523809523809,9927744512.0
EFX,2026-02-05 19:07:28,0.8279761904761904,0.875,187.92,3.800268,1.667217472787259,1610367.0,0.8214285714285714,0.8214285714285714,0.8273809523809523,23151251456.0
ENSG,2026-02-05 19:07:28,0.9351190476190476,0.9642857142857144,197.14,13.83532,1.7638313131258252,368114.0,0.9851190476190476,0.8482142857142857,0.9851190476190476,11419291648.0
FORM,2026-02-05 19:07:28,0.9360119047619048,0.8422619047619048,84.8,18.485405,2.1528922902701417,1094980.0,0.9970238095238096,0.9077380952380952,0.925595238095238,6573449728.0
GSK,2026-02-05 19:07:28,0.7816964285714285,0.6666666666666666,59.295,3.6082451,1.957367031531378,4375229.0,0.7976190476190477,0.8779761904761905,0.6428571428571429,119621263360.0
HSY,2026-02-05 19:07:28,0.9261904761904762,0.8839285714285714,223.25,8.484381,2.0711731086495404,1697200.0,0.9464285714285714,0.9047619047619048,0.949404761904762,45271777280.0
HURN,2026-02-05 19:07:28,0.8507440476190475,0.9821428571428572,171.06,3.3782537,2.3930488967850656,153098.0,0.7767857142857143,0.9226190476190476,0.7886904761904762,2960516096.0
IDCC,2026-02-05 19:07:28,0.8872023809523809,0.988095238095238,353.835,12.732977,1.2109136972688457,274719.0,0.9821428571428572,0.7023809523809523,0.9940476190476192,9129778176.0
ITT,2026-02-05 19:07:28,0.9333333333333332,0.9047619047619048,203.375,9.843374,2.0184416503126283,876440.0,0.9672619047619048,0.8898809523809523,0.9642857142857144,17498388480.0
KGS,2026-02-05 19:07:28,0.8629464285714286,0.7738095238095238,46.04,8.584904,1.9733455688391084,1563755.0,0.9523809523809524,0.8839285714285714,0.7142857142857143,3944884736.0
KLIC,2026-02-05 19:07:28,0.9209821428571427,0.8511904761904762,63.695,14.415307,2.0547735721268623,652614.0,0.988095238095238,0.9017857142857144,0.8720238095238095,3335261184.0
LASR,2026-02-05 19:07:28,0.8028273809523809,0.8303571428571429,45.99,4.8563633,1.514983535714039,869154.0,0.8839285714285714,0.7976190476190477,0.65625,2335648512.0
LITE,2026-02-05 19:07:28,0.8303571428571428,0.8601190476190477,488.955,5.0296383,1.1443088287600929,4728886.0,0.8928571428571429,0.6726190476190477,0.9821428571428572,34911387648.0
MCK,2026-02-05 19:07:28,0.9595238095238094,0.9910714285714286,962.275,17.065088,2.0308577264893004,704945.0,0.9940476190476192,0.8928571428571429,1.0,119691993088.0
