,symbol,HotScore,MomentumScore,VolumeScore,VolatilityScore,TrendScore,VolumeSpike,marketCap,regularMarketPrice
52,AA,0.7929919137466308,0.8814016172506739,0.7897574123989218,0.7547169811320755,0.5714285714285714,1.1367072625459165,10765134848.0,41.57
53,AA,0.793019943019943,0.96011396011396,0.7692307692307693,0.7293447293447294,0.4188034188034188,0.5783747161505808,11560154112.0,44.64
54,AA,0.7944010416666666,0.9036458333333334,0.8020833333333334,0.7265625,0.5208333333333334,0.940394336752956,10836349952.0,41.845
55,AA,0.7946172248803828,0.9138755980861244,0.8014354066985646,0.7296650717703349,0.4832535885167464,1.3010979381812908,12233461760.0,47.24
56,AA,0.7946300715990453,0.9140811455847256,0.801909307875895,0.7279236276849642,0.4844868735083532,1.3010979381812908,12233461760.0,47.24
57,AA,0.7964615384615383,0.96,0.7723076923076924,0.7323076923076923,0.4369230769230769,0.5435349232715297,11535552512.0,44.545
58,AA,0.7965671641791043,0.8477611940298507,0.8328358208955224,0.7656716417910447,0.5522388059701493,0.8791404263521234,13951687680.0,53.875
59,AA,0.7979665071770333,0.9138755980861244,0.8110047846889952,0.7284688995215312,0.485645933014354,1.2949953610852585,12233461760.0,47.24
60,AA,0.7983502538071067,0.9467005076142132,0.7817258883248731,0.7385786802030457,0.4568527918781725,0.8253440303375208,11580871680.0,44.72
61,AA,0.7991626794258374,0.9138755980861244,0.8157894736842105,0.7296650717703349,0.4784688995215311,1.296966360513674,12233461760.0,47.24
62,AA,0.7996420047732696,0.9140811455847256,0.8162291169451074,0.7303102625298329,0.4797136038186158,1.296966360513674,12233461760.0,47.24
63,AA,0.7997435897435898,0.9487179487179488,0.7846153846153846,0.7410256410256411,0.4487179487179487,0.7979730092542466,11578281984.0,44.71
64,AA,0.8011961722488038,0.9138755980861244,0.8181818181818182,0.7320574162679426,0.485645933014354,1.3010979381812908,12233461760.0,47.24
65,AA,0.801948051948052,0.8311688311688312,0.8493506493506493,0.7818181818181819,0.574025974025974,1.2300926900819658,13911547904.0,53.72
66,AA,0.8046997389033942,0.8302872062663186,0.856396866840731,0.7806788511749347,0.5822454308093995,1.2308720153793424,13911547904.0,53.72
67,AA,0.805192878338279,0.8427299703264095,0.8338278931750742,0.798219584569733,0.5875370919881305,1.0010538878418125,13934855168.0,53.81
68,AA,0.806036745406824,0.9711286089238844,0.7716535433070866,0.7585301837270341,0.4435695538057743,0.7498196186272706,11635254272.0,44.93
