symbol,HotScore,MomentumScore,VolumeScore,VolumeSpike,VolatilityScore,TrendScore,cluster,watch_label,final_signal
RKLB,0.7802352941176471,0.9270588235294116,0.7435294117647059,1.2634454190176188,0.7929411764705883,0.3694117647058823,3,❌ IGNORE,IGNORE
VNET,0.7834117647058824,0.9647058823529412,0.971764705882353,2.4296838275127595,0.3976470588235294,0.2611764705882353,3,❌ IGNORE,IGNORE
APP,0.7836470588235294,0.9058823529411764,0.5411764705882353,1.012649245206994,0.9694117647058824,0.8329411764705882,1,❌ IGNORE,IGNORE
CIEN,0.7836470588235294,0.7647058823529411,0.6635294117647059,1.1462293861888877,0.96,0.9176470588235294,1,👀 WATCH,WATCH
BETA,0.7858823529411765,0.8282352941176471,0.9741176470588236,2.575110183323446,0.4988235294117647,0.5529411764705883,3,❌ IGNORE,IGNORE
FRHC,0.7909411764705881,0.8494117647058823,0.6164705882352941,1.0932952989157163,0.8917647058823529,0.9952941176470588,1,👀 WATCH,WATCH
HCM,0.7916470588235294,0.8564705882352941,0.8917647058823529,1.7013490649377874,0.4305882352941176,0.9364705882352942,3,👀 WATCH,WATCH
ACMR,0.7918823529411766,0.8682352941176471,0.7152941176470589,1.2221098639631718,0.7647058823529411,0.8470588235294118,1,❌ IGNORE,IGNORE
CRWD,0.7937647058823529,0.7670588235294118,0.7788235294117647,1.3064231056209052,0.9152941176470588,0.6964705882352941,1,❌ IGNORE,IGNORE
XXI,0.7955294117647058,0.983529411764706,0.9364705882352942,1.925402229181029,0.428235294117647,0.3788235294117647,3,❌ IGNORE,IGNORE
PLBL,0.7978823529411765,0.9929411764705882,0.8376470588235294,1.4444301437337377,0.4470588235294118,0.6776470588235294,3,❌ IGNORE,IGNORE
MPWR,0.7983529411764706,0.76,0.6658823529411765,1.148788160549023,0.9976470588235294,0.9976470588235294,1,👀 WATCH,WATCH
SITM,0.800235294117647,0.6352941176470588,0.8094117647058824,1.3870706906180197,0.976470588235294,0.9929411764705882,1,👀 WATCH,WATCH
CPA,0.8016470588235294,0.6635294117647059,0.8941176470588236,1.7166494924317324,0.7964705882352942,0.971764705882353,1,👀 WATCH,WATCH
LSCC,0.8143529411764706,0.8305882352941176,0.7741176470588236,1.3054655952943883,0.8376470588235294,0.851764705882353,1,👀 WATCH,WATCH
LEU,0.8176470588235294,0.8894117647058823,0.6729411764705883,1.1587296952967403,0.8894117647058823,0.9294117647058824,1,👀 WATCH,WATCH
TPL,0.8214117647058824,0.6494117647058824,0.88,1.5699147643670912,0.9364705882352942,0.9882352941176472,1,👀 WATCH,WATCH
AXTI,0.8252941176470588,0.9882352941176472,0.7082352941176471,1.213049625249395,0.8964705882352941,0.5223529411764706,0,❌ IGNORE,IGNORE
AMRX,0.8305882352941176,0.9223529411764706,0.9788235294117648,2.756070440293324,0.5470588235294118,0.5576470588235294,3,❌ IGNORE,IGNORE
NET,0.835764705882353,0.9294117647058824,0.6423529411764706,1.120752771737566,0.983529411764706,0.8894117647058823,1,👀 WATCH,WATCH
GDDY,0.8362352941176471,0.9152941176470588,0.7552941176470588,1.2741106874692092,0.8541176470588235,0.8070588235294117,1,❌ IGNORE,IGNORE
INOD,0.8403529411764706,0.8964705882352941,0.8423529411764706,1.452131061546901,0.7529411764705882,0.8117647058823529,0,❌ IGNORE,IGNORE
QCOM,0.8478823529411764,0.9505882352941176,0.7505882352941177,1.272541781446517,0.9529411764705882,0.6188235294117647,0,❌ IGNORE,IGNORE
WBD,0.8503529411764704,0.9623529411764706,1.0,11.097137438660296,0.6964705882352941,0.2423529411764705,2,❌ IGNORE,IGNORE
FSLY,0.8550588235294116,0.9905882352941175,0.9058823529411764,1.7588783611381769,0.7341176470588235,0.4447058823529412,3,❌ IGNORE,IGNORE
MRNA,0.8589411764705883,0.971764705882353,0.7670588235294118,1.2929720542865175,0.9647058823529412,0.5741176470588235,0,❌ IGNORE,IGNORE
FIVN,0.8594117647058823,0.9858823529411764,0.851764705882353,1.4777222768714522,0.7694117647058824,0.6235294117647059,0,❌ IGNORE,IGNORE
INTC,0.8608235294117647,0.9694117647058824,0.8964705882352941,1.735854403715121,0.9341176470588236,0.2094117647058823,0,❌ IGNORE,IGNORE
CRDO,0.864235294117647,0.8823529411764706,0.8635294117647059,1.511206264417518,0.9129411764705884,0.7058823529411765,0,❌ IGNORE,IGNORE
SHOP,0.8723529411764706,0.9105882352941176,0.8988235294117647,1.7383748247304385,0.88,0.6305882352941177,0,❌ IGNORE,IGNORE
SECZ,0.8744705882352941,0.9976470588235294,0.9858823529411764,3.1816522959508715,0.6611764705882353,0.48,3,❌ IGNORE,IGNORE
AKAM,0.8791764705882353,0.976470588235294,0.7905882352941176,1.32656736041848,0.9270588235294116,0.7529411764705882,0,❌ IGNORE,IGNORE
RMBS,0.8878823529411765,0.96,0.8588235294117647,1.4884365075525057,0.8776470588235294,0.7576470588235295,0,❌ IGNORE,IGNORE
MSTR,0.888470588235294,0.9529411764705882,0.9011764705882352,1.7425393510389775,0.9411764705882352,0.5129411764705882,0,❌ IGNORE,IGNORE
DOCN,0.8905882352941175,0.9741176470588236,0.8,1.3503334510349974,0.9505882352941176,0.7952941176470588,0,❌ IGNORE,IGNORE
P,0.8967058823529412,0.9458823529411764,0.903529411764706,1.751424518489409,0.8823529411764706,0.7294117647058823,0,❌ IGNORE,IGNORE
ALAB,0.9081176470588236,0.9788235294117648,0.8023529411764706,1.3749856941169487,0.9905882352941175,0.8658823529411764,0,⚠️ OVERHEATED,IGNORE
TWLO,0.9108235294117648,0.9411764705882352,0.8470588235294118,1.4614814405955745,0.971764705882353,0.9058823529411764,0,⚠️ OVERHEATED,IGNORE
AMD,0.9211764705882352,0.9552941176470588,0.908235294117647,1.7697896722087048,0.9952941176470588,0.6988235294117647,0,⚠️ OVERHEATED,IGNORE
HHH,0.9234117647058824,0.9388235294117648,0.983529411764706,3.053048099219633,0.7964705882352942,0.9129411764705884,0,👀 WATCH,WATCH
BURL,0.9250588235294116,0.8658823529411764,0.9670588235294116,2.2746175879204573,0.9435294117647058,0.9482352941176472,0,⚠️ OVERHEATED,IGNORE
NICE,0.9374117647058824,0.9435294117647058,0.9623529411764706,2.2116046423092435,0.8847058823529412,0.9341176470588236,0,⚠️ OVERHEATED,IGNORE
META,0.9585882352941176,0.9670588235294116,0.976470588235294,2.645879801822792,1.0,0.7835294117647059,0,🔥 HOT,STRONG BUY
ARM,0.970470588235294,0.9952941176470588,0.9694117647058824,2.371321811463931,0.9929411764705882,0.8423529411764706,0,🔥 HOT,STRONG BUY
GRAL,0.986,1.0,0.9929411764705882,4.930277118305775,0.9811764705882352,0.9223529411764706,0,🔥 HOT,STRONG BUY
